L_int Dose (GY),L_int Value (% of 832.318 cc),L_PostTib Dose (GY),L_PostTib Value (% of 1856.290 cc),L_kidney Dose (GY),L_kidney Value (% of 157.351 cc),R_InterIliac Dose (GY),R_InterIliac Value (% of 2572.940 cc),L_heart Dose (GY),L_heart Value (% of 166.131 cc),L_AnteriorTib Dose (GY),L_AnteriorTib Value (% of 1735.690 cc),R_Heart Dose (GY),R_Heart Value (% of 148.625 cc),Liver Dose (GY),Liver Value (% of 1800.470 cc),R_PostTib Dose (GY),R_PostTib Value (% of 1684.110 cc),R_Arm Region Dose (GY),R_Arm Region Value (% of 1077.870 cc),R_Kidney Dose (GY),R_Kidney Value (% of 155.005 cc),Stomach Dose (GY),Stomach Value (% of 282.950 cc),Brain Dose (GY),Brain Value (% of 1282.300 cc),Lung_L Dose (GY),Lung_L Value (% of 1465.800 cc),Spleen Dose (GY),Spleen Value (% of 154.291 cc),Lung_R Dose (GY),Lung_R Value (% of 1467.700 cc),R_AnteriorTib Dose (GY),R_AnteriorTib Value (% of 1756.870 cc),S_int Dose (GY),S_int Value (% of 1243.680 cc),L_InterIliac Dose (GY),L_InterIliac Value (% of 2375.710 cc),L_Arm Region Dose (GY),L_Arm Region Value (% of 1131.740 cc),L_DeepFemoral Dose (GY),L_DeepFemoral Value (% of 6266.400 cc),Pancreas Dose (GY),Pancreas Value (% of 130.466 cc),R_DeepFemoral Dose (GY),R_DeepFemoral Value (% of 6336.480 cc),
4.900000,0.000000,4.900000,0.000000,4.900000,0.000000,4.900000,0.000603,4.900000,0.000000,4.900000,0.000782,4.900000,0.000000,4.900000,0.000000,4.900000,0.000000,4.900000,0.000000,4.900000,0.000000,4.900000,0.000000,4.900000,0.000000,4.900000,0.000000,4.900000,0.000000,4.900000,0.000000,4.900000,0.000000,4.900000,0.000000,4.900000,0.000653,4.900000,0.000000,4.900000,0.000248,4.900000,0.000000,4.900000,0.000245,
5.100000,0.000000,5.100000,0.000000,5.100000,0.000000,5.100000,0.000603,5.100000,0.000000,5.100000,0.000782,5.100000,0.000000,5.100000,0.000000,5.100000,0.000000,5.100000,0.000000,5.100000,0.000000,5.100000,0.000000,5.100000,0.000000,5.100000,0.000000,5.100000,0.000000,5.100000,0.000000,5.100000,0.000000,5.100000,0.000000,5.100000,0.000653,5.100000,0.000000,5.100000,0.000248,5.100000,0.000000,5.100000,0.000245,
5.300000,0.000000,5.300000,0.000000,5.300000,0.000000,5.300000,0.000603,5.300000,0.000000,5.300000,0.000782,5.300000,0.000000,5.300000,0.000000,5.300000,0.000000,5.300000,0.000000,5.300000,0.000000,5.300000,0.000000,5.300000,0.000000,5.300000,0.000000,5.300000,0.000000,5.300000,0.000000,5.300000,0.000000,5.300000,0.000000,5.300000,0.000653,5.300000,0.000000,5.300000,0.000248,5.300000,0.000000,5.300000,0.000245,
5.500000,0.000000,5.500000,0.000000,5.500000,0.000000,5.500000,0.000603,5.500000,0.000000,5.500000,0.000782,5.500000,0.000000,5.500000,0.000000,5.500000,0.000000,5.500000,0.000000,5.500000,0.000000,5.500000,0.000000,5.500000,0.000000,5.500000,0.000000,5.500000,0.000000,5.500000,0.000000,5.500000,0.000000,5.500000,0.000000,5.500000,0.000653,5.500000,0.000000,5.500000,0.000248,5.500000,0.000000,5.500000,0.000245,
5.700000,0.000000,5.700000,0.000000,5.700000,0.000000,5.700000,0.000603,5.700000,0.000000,5.700000,0.000782,5.700000,0.000000,5.700000,0.000000,5.700000,0.000000,5.700000,0.000000,5.700000,0.000000,5.700000,0.000000,5.700000,0.000000,5.700000,0.000000,5.700000,0.000000,5.700000,0.000000,5.700000,0.000000,5.700000,0.000000,5.700000,0.000653,5.700000,0.000000,5.700000,0.000248,5.700000,0.000000,5.700000,0.000245,
5.900000,0.000000,5.900000,0.000000,5.900000,0.000000,5.900000,0.000603,5.900000,0.000000,5.900000,0.000782,5.900000,0.000000,5.900000,0.000000,5.900000,0.000000,5.900000,0.000000,5.900000,0.000000,5.900000,0.000000,5.900000,0.000000,5.900000,0.000000,5.900000,0.000000,5.900000,0.000000,5.900000,0.000000,5.900000,0.000000,5.900000,0.000653,5.900000,0.000000,5.900000,0.000248,5.900000,0.000000,5.900000,0.000245,
6.100000,0.000000,6.100000,0.000000,6.100000,0.000000,6.100000,0.000603,6.100000,0.000000,6.100000,0.000782,6.100000,0.000000,6.100000,0.000000,6.100000,0.000000,6.100000,0.000000,6.100000,0.000000,6.100000,0.000000,6.100000,0.000000,6.100000,0.000000,6.100000,0.000000,6.100000,0.000000,6.100000,0.000000,6.100000,0.000000,6.100000,0.000653,6.100000,0.000000,6.100000,0.000248,6.100000,0.000000,6.100000,0.000245,
6.300000,0.000000,6.300000,0.000000,6.300000,0.000000,6.300000,0.000603,6.300000,0.000000,6.300000,0.000782,6.300000,0.000000,6.300000,0.000000,6.300000,0.000000,6.300000,0.000000,6.300000,0.000000,6.300000,0.000000,6.300000,0.000000,6.300000,0.000000,6.300000,0.000000,6.300000,0.000000,6.300000,0.000000,6.300000,0.000000,6.300000,0.000653,6.300000,0.000000,6.300000,0.000248,6.300000,0.000000,6.300000,0.000245,
6.500000,0.000000,6.500000,0.000000,6.500000,0.000000,6.500000,0.000603,6.500000,0.000000,6.500000,0.000782,6.500000,0.000000,6.500000,0.000000,6.500000,0.000000,6.500000,0.000000,6.500000,0.000000,6.500000,0.000000,6.500000,0.000000,6.500000,0.000000,6.500000,0.000000,6.500000,0.000000,6.500000,0.000000,6.500000,0.000000,6.500000,0.000653,6.500000,0.000000,6.500000,0.000248,6.500000,0.000000,6.500000,0.000245,
6.700000,0.000000,6.700000,0.000000,6.700000,0.000000,6.700000,0.000603,6.700000,0.000000,6.700000,0.000782,6.700000,0.000000,6.700000,0.000000,6.700000,0.000000,6.700000,0.000000,6.700000,0.000000,6.700000,0.000000,6.700000,0.000000,6.700000,0.000000,6.700000,0.000000,6.700000,0.000000,6.700000,0.000000,6.700000,0.000000,6.700000,0.000653,6.700000,0.000000,6.700000,0.000248,6.700000,0.000000,6.700000,0.000245,
6.900000,0.000000,6.900000,0.000000,6.900000,0.000000,6.900000,0.000603,6.900000,0.000000,6.900000,0.000782,6.900000,0.000000,6.900000,0.000000,6.900000,0.000000,6.900000,0.000000,6.900000,0.000000,6.900000,0.000000,6.900000,0.000000,6.900000,0.000000,6.900000,0.000000,6.900000,0.000000,6.900000,0.000000,6.900000,0.000000,6.900000,0.000653,6.900000,0.000000,6.900000,0.000248,6.900000,0.000000,6.900000,0.000245,
7.100000,0.000000,7.100000,0.000000,7.100000,0.000000,7.100000,0.000603,7.100000,0.000000,7.100000,0.000782,7.100000,0.000000,7.100000,0.000000,7.100000,0.000000,7.100000,0.000000,7.100000,0.000000,7.100000,0.000000,7.100000,0.000000,7.100000,0.000000,7.100000,0.000000,7.100000,0.000000,7.100000,0.000000,7.100000,0.000000,7.100000,0.000653,7.100000,0.000000,7.100000,0.000248,7.100000,0.000000,7.100000,0.000245,
7.300000,0.000000,7.300000,0.000000,7.300000,0.000000,7.300000,0.000603,7.300000,0.000000,7.300000,0.000782,7.300000,0.000000,7.300000,0.000000,7.300000,0.000000,7.300000,0.000000,7.300000,0.000000,7.300000,0.000000,7.300000,0.000000,7.300000,0.000000,7.300000,0.000000,7.300000,0.000000,7.300000,0.000000,7.300000,0.000000,7.300000,0.000653,7.300000,0.000000,7.300000,0.000248,7.300000,0.000000,7.300000,0.000245,
7.500000,0.000000,7.500000,0.000000,7.500000,0.000000,7.500000,0.000603,7.500000,0.000000,7.500000,0.000782,7.500000,0.000000,7.500000,0.000000,7.500000,0.000000,7.500000,0.000000,7.500000,0.000000,7.500000,0.000000,7.500000,0.000000,7.500000,0.000000,7.500000,0.000000,7.500000,0.000000,7.500000,0.000000,7.500000,0.000000,7.500000,0.000653,7.500000,0.000000,7.500000,0.000248,7.500000,0.000000,7.500000,0.000245,
7.700000,0.000000,7.700000,0.000000,7.700000,0.000000,7.700000,0.000603,7.700000,0.000000,7.700000,0.000782,7.700000,0.000000,7.700000,0.000000,7.700000,0.000000,7.700000,0.000000,7.700000,0.000000,7.700000,0.000000,7.700000,0.000000,7.700000,0.000000,7.700000,0.000000,7.700000,0.000000,7.700000,0.000000,7.700000,0.000000,7.700000,0.000653,7.700000,0.000000,7.700000,0.000248,7.700000,0.000000,7.700000,0.000245,
7.900000,0.000000,7.900000,0.000000,7.900000,0.000000,7.900000,0.000603,7.900000,0.000000,7.900000,0.000782,7.900000,0.000000,7.900000,0.000000,7.900000,0.000000,7.900000,0.000000,7.900000,0.000000,7.900000,0.000000,7.900000,0.000000,7.900000,0.000000,7.900000,0.000000,7.900000,0.000000,7.900000,0.000000,7.900000,0.000000,7.900000,0.000653,7.900000,0.000000,7.900000,0.000248,7.900000,0.000000,7.900000,0.000245,
8.100000,0.000000,8.100000,0.000000,8.100000,0.000000,8.100000,0.000603,8.100000,0.000000,8.100000,0.000782,8.100000,0.000000,8.100000,0.000000,8.100000,0.000000,8.100000,0.000000,8.100000,0.000000,8.100000,0.000000,8.100000,0.000000,8.100000,0.000000,8.100000,0.000000,8.100000,0.000000,8.100000,0.000000,8.100000,0.000000,8.100000,0.000653,8.100000,0.000000,8.100000,0.000248,8.100000,0.000000,8.100000,0.000245,
8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000603,8.300000,0.000000,8.300000,0.000782,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000653,8.300000,0.000000,8.300000,0.000248,8.300000,0.000000,8.300000,0.000245,
8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000603,8.500000,0.000000,8.500000,0.000782,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000653,8.500000,0.000000,8.500000,0.000248,8.500000,0.000000,8.500000,0.000245,
8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000603,8.700000,0.000000,8.700000,0.000782,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000653,8.700000,0.000000,8.700000,0.000248,8.700000,0.000000,8.700000,0.000245,
