Lung_R Dose (Gy),Lung_R Value (% of 1462.670 cc),L_kidney Dose (Gy),L_kidney Value (% of 156.316 cc),R_DeepFemoral Dose (Gy),R_DeepFemoral Value (% of 6327.210 cc),L_AnteriorTib Dose (Gy),L_AnteriorTib Value (% of 1734.620 cc),L_Arm Region Dose (Gy),L_Arm Region Value (% of 1127.230 cc),L_InterIliac Dose (Gy),L_InterIliac Value (% of 2372.120 cc),R_PostTib Dose (Gy),R_PostTib Value (% of 1681.970 cc),Spleen Dose (Gy),Spleen Value (% of 153.090 cc),L_heart Dose (Gy),L_heart Value (% of 165.252 cc),Lung_L Dose (Gy),Lung_L Value (% of 1460.820 cc),Liver Dose (Gy),Liver Value (% of 1795.660 cc),Brain Dose (Gy),Brain Value (% of 1276.600 cc),R_Heart Dose (Gy),R_Heart Value (% of 147.662 cc),R_AnteriorTib Dose (Gy),R_AnteriorTib Value (% of 1752.930 cc),S_int Dose (Gy),S_int Value (% of 1231.790 cc),R_InterIliac Dose (Gy),R_InterIliac Value (% of 2566.170 cc),R_Arm Region Dose (Gy),R_Arm Region Value (% of 1074.610 cc),R_Kidney Dose (Gy),R_Kidney Value (% of 153.867 cc),L_DeepFemoral Dose (Gy),L_DeepFemoral Value (% of 6255.930 cc),Pancreas Dose (Gy),Pancreas Value (% of 129.320 cc),L_int Dose (Gy),L_int Value (% of 825.443 cc),Stomach Dose (Gy),Stomach Value (% of 282.426 cc),L_PostTib Dose (Gy),L_PostTib Value (% of 1853.340 cc),
1.900000,0.000000,1.900000,0.000000,1.900000,0.079919,1.900000,44.158136,1.900000,0.000000,1.900000,0.000000,1.900000,41.059468,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,17.949041,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.108428,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,77.176923,
2.100000,0.000000,2.100000,0.000000,2.100000,0.039358,2.100000,42.734686,2.100000,0.000000,2.100000,0.000000,2.100000,34.701824,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,14.195400,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.060037,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,75.040362,
2.300000,0.000000,2.300000,0.000000,2.300000,0.014323,2.300000,41.490940,2.300000,0.000000,2.300000,0.000000,2.300000,29.270247,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,11.151730,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.033125,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,73.068411,
2.500000,0.000000,2.500000,0.000000,2.500000,0.004630,2.500000,40.417667,2.500000,0.000000,2.500000,0.000000,2.500000,24.825353,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,8.766889,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.015704,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,71.330730,
2.700000,0.000000,2.700000,0.000000,2.700000,0.000988,2.700000,39.508672,2.700000,0.000000,2.700000,0.000000,2.700000,21.307921,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,6.915082,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.007056,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,69.757974,
2.900000,0.000000,2.900000,0.000000,2.900000,0.000525,2.900000,38.718692,2.900000,0.000000,2.900000,0.000000,2.900000,18.545278,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,5.464612,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.003060,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,68.346246,
3.100000,0.000000,3.100000,0.000000,3.100000,0.000154,3.100000,38.015187,3.100000,0.000000,3.100000,0.000000,3.100000,16.349307,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,4.428180,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.001186,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,67.073415,
3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,37.361787,3.300000,0.000000,3.300000,0.000000,3.300000,14.606209,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,3.643669,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000219,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,65.887947,
3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,36.791822,3.500000,0.000000,3.500000,0.000000,3.500000,13.274297,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,3.034979,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000094,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,64.747584,
3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,36.260702,3.700000,0.000000,3.700000,0.000000,3.700000,12.165454,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,2.583281,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000094,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,63.681938,
3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,35.772820,3.900000,0.000000,3.900000,0.000000,3.900000,11.234974,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,2.214257,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,62.680998,
