L_DeepFemoral Dose (GY),L_DeepFemoral Value (% of 6257.420 cc),R_AnteriorTib Dose (GY),R_AnteriorTib Value (% of 1757.430 cc),Pancreas Dose (GY),Pancreas Value (% of 130.338 cc),S_int Dose (GY),S_int Value (% of 1243.680 cc),R_InterIliac Dose (GY),R_InterIliac Value (% of 2573.600 cc),L_kidney Dose (GY),L_kidney Value (% of 157.826 cc),L_InterIliac Dose (GY),L_InterIliac Value (% of 2379.790 cc),L_Arm Region Dose (GY),L_Arm Region Value (% of 1130.360 cc),Stomach Dose (GY),Stomach Value (% of 282.378 cc),Lung_L Dose (GY),Lung_L Value (% of 1465.720 cc),Spleen Dose (GY),Spleen Value (% of 154.925 cc),R_DeepFemoral Dose (GY),R_DeepFemoral Value (% of 6326.200 cc),L_PostTib Dose (GY),L_PostTib Value (% of 1849.890 cc),Liver Dose (GY),Liver Value (% of 1799.800 cc),L_int Dose (GY),L_int Value (% of 832.318 cc),R_PostTib Dose (GY),R_PostTib Value (% of 1682.120 cc),L_heart Dose (GY),L_heart Value (% of 165.893 cc),L_AnteriorTib Dose (GY),L_AnteriorTib Value (% of 1738.620 cc),Brain Dose (GY),Brain Value (% of 1283.830 cc),R_Arm Region Dose (GY),R_Arm Region Value (% of 1075.460 cc),R_Heart Dose (GY),R_Heart Value (% of 148.363 cc),Lung_R Dose (GY),Lung_R Value (% of 1467.440 cc),R_Kidney Dose (GY),R_Kidney Value (% of 154.739 cc),
1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,46.196435,1.900000,0.022302,1.900000,11.529389,1.900000,0.076267,1.900000,59.976395,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000839,1.900000,0.006895,1.900000,31.162868,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,55.178283,1.900000,0.000000,1.900000,0.000000,1.900000,17.473684,
2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,2.132304,2.100000,0.004822,2.100000,0.000000,2.100000,0.043022,2.100000,30.474700,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000839,2.100000,0.000000,2.100000,0.256971,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,20.004904,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,
2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.003014,2.300000,0.000000,2.300000,0.019556,2.300000,3.354056,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000839,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,2.163628,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,
2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.001206,2.500000,0.000000,2.500000,0.010430,2.500000,0.623053,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000839,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,1.373183,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,
2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.004563,2.700000,0.478955,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000839,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.985172,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,
2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000652,2.900000,0.344463,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000839,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.675052,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,
3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.259377,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000839,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.468786,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,
3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.189386,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000839,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.308678,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,
3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.142726,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000839,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.204823,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,
3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.089204,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000839,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.131260,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,
3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.049405,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000839,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.080775,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,
4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.030192,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000839,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.041830,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,
