L_DeepFemoral Dose (GY),L_DeepFemoral Value (% of 6257.420 cc),R_AnteriorTib Dose (GY),R_AnteriorTib Value (% of 1757.430 cc),Pancreas Dose (GY),Pancreas Value (% of 130.338 cc),S_int Dose (GY),S_int Value (% of 1243.680 cc),R_InterIliac Dose (GY),R_InterIliac Value (% of 2573.600 cc),L_kidney Dose (GY),L_kidney Value (% of 157.826 cc),L_InterIliac Dose (GY),L_InterIliac Value (% of 2379.790 cc),L_Arm Region Dose (GY),L_Arm Region Value (% of 1130.360 cc),Stomach Dose (GY),Stomach Value (% of 282.378 cc),Lung_L Dose (GY),Lung_L Value (% of 1465.720 cc),Spleen Dose (GY),Spleen Value (% of 154.925 cc),R_DeepFemoral Dose (GY),R_DeepFemoral Value (% of 6326.200 cc),L_PostTib Dose (GY),L_PostTib Value (% of 1849.890 cc),Liver Dose (GY),Liver Value (% of 1799.800 cc),L_int Dose (GY),L_int Value (% of 832.318 cc),R_PostTib Dose (GY),R_PostTib Value (% of 1682.120 cc),L_heart Dose (GY),L_heart Value (% of 165.893 cc),L_AnteriorTib Dose (GY),L_AnteriorTib Value (% of 1738.620 cc),Brain Dose (GY),Brain Value (% of 1283.830 cc),R_Arm Region Dose (GY),R_Arm Region Value (% of 1075.460 cc),R_Heart Dose (GY),R_Heart Value (% of 148.363 cc),Lung_R Dose (GY),Lung_R Value (% of 1467.440 cc),R_Kidney Dose (GY),R_Kidney Value (% of 154.739 cc),
8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000839,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,8.300000,0.000000,
8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000839,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,8.500000,0.000000,
8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000839,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,8.700000,0.000000,
8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000839,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,8.900000,0.000000,
9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000839,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,9.100000,0.000000,
9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000839,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,9.300000,0.000000,
9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000839,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,9.500000,0.000000,
9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000839,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,9.700000,0.000000,
9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000839,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,9.900000,0.000000,
10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000839,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,10.100000,0.000000,
10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000839,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,10.300000,0.000000,
10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000839,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,0.000000,
10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000839,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,10.700000,0.000000,
10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000839,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,10.900000,0.000000,
11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000839,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,11.100000,0.000000,
11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000839,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,11.300000,0.000000,
11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000839,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,11.500000,0.000000,
11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000839,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,11.700000,0.000000,
11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000839,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,11.900000,0.000000,
12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000839,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,12.100000,0.000000,
12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000839,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,12.300000,0.000000,
12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000839,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,
12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000839,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,
12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000839,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,
13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000839,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,
13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000839,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,
13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000839,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,
13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000839,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,
13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000839,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,
14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000839,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,
14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000839,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,14.300000,0.000000,
14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000839,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,14.500000,0.000000,
14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000839,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,14.700000,0.000000,
14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000839,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,14.900000,0.000000,
15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000839,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,15.100000,0.000000,
15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000839,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,15.300000,0.000000,
15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000839,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,15.500000,0.000000,
15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000839,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,15.700000,0.000000,
15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000839,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,15.900000,0.000000,
16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000839,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,16.100000,0.000000,
16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000839,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,16.300000,0.000000,
16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000839,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,16.500000,0.000000,
16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000839,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,16.700000,0.000000,
16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000839,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,16.900000,0.000000,
17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000839,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,17.100000,0.000000,
17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000839,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,17.300000,0.000000,
17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000839,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,17.500000,0.000000,
17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000839,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,17.700000,0.000000,
17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000839,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,17.900000,0.000000,
18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000839,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,18.100000,0.000000,
18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000839,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,18.300000,0.000000,
18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000839,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,18.500000,0.000000,
18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000839,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,18.700000,0.000000,
18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000839,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,18.900000,0.000000,
19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000839,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,19.100000,0.000000,
19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000839,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,19.300000,0.000000,
19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000839,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,19.500000,0.000000,
