3.870756308487984576e+00,3.856706005421778549e+00,3.842706702987106926e+00,3.828758216058825159e+00,3.814860360183762289e+00,3.801012951578290444e+00,3.787215807125889455e+00,3.773468744374727013e+00,3.759771581535241936e+00,3.746124137477748750e+00,3.732526231730033839e+00
3.873826868448981831e+00,3.856840456999537370e+00,3.842987116080474053e+00,3.828660368841441120e+00,3.814762581997161117e+00,3.800867706346811037e+00,3.786962770987368110e+00,3.772545521314143446e+00,3.758314869089363519e+00,3.740769799766718862e+00,3.728469203546791011e+00
4.172086749493302271e+00,4.076766649082325777e+00,4.069812594008832107e+00,4.020115267679433835e+00,3.979490089518626039e+00,3.955108382796396427e+00,3.888633829872028436e+00,3.890278932900306241e+00,3.789093580163995778e+00,3.833239705688600285e+00,3.676016317510191200e+00
4.420193638128527169e+00,4.353042817440577750e+00,4.330210237414863883e+00,4.276857022139325615e+00,4.245132999373205429e+00,4.200190513767378953e+00,4.163449606276098613e+00,4.124885456546296680e+00,4.083576850678716674e+00,4.052073021877928838e+00,4.003281854660622585e+00
4.297361290341849660e+00,4.244074155968667661e+00,4.227253829231397475e+00,4.181733001223387092e+00,4.158007538486830690e+00,4.117386652395880198e+00,4.088111484194055123e+00,4.051223455390553063e+00,4.017424230447760536e+00,3.984914600649920757e+00,3.945962620875600013e+00
4.850367651124996904e+00,4.827992563118449709e+00,4.800629763288188911e+00,4.781005322171500538e+00,4.760222986744736318e+00,4.736339017934860784e+00,4.716961219775776648e+00,4.691014357621061670e+00,4.673054502621254436e+00,4.653313379312236542e+00,4.644393540696268197e+00
4.879439678343342912e+00,4.827297204840917288e+00,4.803317693095270791e+00,4.760869932651805136e+00,4.728630714759737508e+00,4.691959007129035797e+00,4.654036775922544500e+00,4.620738094850429079e+00,4.578287884570419131e+00,4.549172314233239867e+00,4.501309097732957731e+00
5.545980794736284913e+00,5.476915072791501693e+00,5.453855493015205447e+00,5.399923795339468313e+00,5.368693501623454267e+00,5.323886479621240397e+00,5.286214237469961219e+00,5.245585733208937285e+00,5.201475702409008584e+00,5.164203247421768062e+00,5.113268839999473236e+00
5.499357159386644156e+00,5.430537748380669605e+00,5.407182464437765290e+00,5.350203691796666661e+00,5.319197964488381558e+00,5.271944248418162893e+00,5.235604955338841293e+00,5.194512696981642641e+00,5.152825927358465563e+00,5.115277121973537788e+00,5.068112830530086654e+00
5.942303983263504286e+00,5.880684642540240148e+00,5.766519323032881061e+00,5.719992206585239991e+00,5.641328518814387571e+00,5.620678617843378966e+00,5.608834018591770665e+00,5.606404570703730883e+00,5.629621865825456872e+00,5.600111742037868545e+00,5.594259456950276821e+00
