4.246514995295632922e+00,4.242563540463682337e+00,4.237169809917482155e+00,4.234694136215435556e+00,4.227758318620369771e+00,4.226965633724772964e+00,4.218240471045363371e+00,4.219434687975072151e+00,4.208432802504337822e+00,4.212088584786782164e+00,4.198153798244175228e+00,4.205052992725111238e+00,4.187322265063647464e+00,4.198587551020923847e+00,4.175829397847171442e+00,4.192953801600487473e+00,4.163407233559962783e+00,4.188389582200514383e+00,4.149635229900442646e+00,4.185266106400840513e+00,4.134071670225939243e+00
4.143237849500300385e+00,4.144528396650433599e+00,4.144334634311910293e+00,4.147021045952012486e+00,4.145262489233977554e+00,4.149728266536176768e+00,4.146298483367262477e+00,4.152767982963468718e+00,4.146954247787354220e+00,4.155861030550141777e+00,4.147335567738937634e+00,4.159782711126476684e+00,4.147526386367375473e+00,4.164307006622218310e+00,4.147146364229953086e+00,4.170111013523004395e+00,4.146503600812943446e+00,4.177440585403992657e+00,4.144389120705812779e+00,4.185508713735495157e+00,4.139689078203912409e+00
4.066525614580572601e+00,4.067730895700344185e+00,4.067635600357633052e+00,4.070674655767325234e+00,4.069385354342503369e+00,4.074266308102650669e+00,4.071177541986778614e+00,4.078041690975077849e+00,4.072792632028549242e+00,4.082313565534804845e+00,4.074294667043805163e+00,4.087114324479887095e+00,4.075297489984119004e+00,4.092524833253511574e+00,4.075777730962895085e+00,4.099037371280054742e+00,4.075794411205643009e+00,4.107271278165713468e+00,4.075063052163977240e+00,4.117127929263243225e+00,4.072255548869152086e+00
4.166808780098354426e+00,4.165295799779451968e+00,4.162348245033030913e+00,4.162327183747417614e+00,4.157847080843636967e+00,4.159536067274005156e+00,4.153327752916956328e+00,4.157075720297972232e+00,4.148639150649088947e+00,4.154883843460498660e+00,4.143558498240359711e+00,4.153061236512439081e+00,4.137875977791888538e+00,4.151651563711778792e+00,4.131403800568000051e+00,4.151087588436693565e+00,4.124122431716584103e+00,4.151709247702005001e+00,4.115559122952953786e+00,4.153848177355631499e+00,4.105350008653841698e+00
4.046896894696033975e+00,4.052335296360427108e+00,4.057441167342825672e+00,4.065510519679736312e+00,4.067851831404112772e+00,4.076004141998032182e+00,4.077114699643519025e+00,4.088706336648041173e+00,4.088427279154107197e+00,4.102520990250686950e+00,4.097617012399842551e+00,4.112628388307065563e+00,4.101879302501282964e+00,4.119570879283834586e+00,4.102819410715289550e+00,4.125796754060783833e+00,4.102008735946805373e+00,4.132728085035845211e+00,4.099623204078799432e+00,4.140838745454990644e+00,4.095180563202692525e+00
3.362520114134341487e+00,3.383844642319010276e+00,3.403805848884359886e+00,3.426796863342620458e+00,3.445405856887162166e+00,3.470128579312620865e+00,3.486840899996852983e+00,3.513320922775094779e+00,3.527533906768995919e+00,3.556365552488766735e+00,3.567672915165598813e+00,3.599740244308529569e+00,3.607154722027031024e+00,3.643334036330166281e+00,3.645464220054292603e+00,3.687327673213808055e+00,3.682693482498546445e+00,3.732520790676269407e+00,3.718869359913419714e+00,3.779396573647295199e+00,3.753377608273802402e+00
2.496783984112650234e+00,2.532387303053433847e+00,2.566576948809127678e+00,2.603709036451730796e+00,2.636595759053826260e+00,2.675649742999998359e+00,2.707060604782129953e+00,2.748321857488883246e+00,2.777389543569688257e+00,2.820850896827350240e+00,2.846944377332560894e+00,2.893719043468696572e+00,2.916179938076886025e+00,2.967201509254882463e+00,2.984367719726708224e+00,3.040780079259606694e+00,3.050995224720316923e+00,3.115073181641005995e+00,3.116086338205379835e+00,3.190616528892748605e+00,3.179087105280659742e+00
2.394493594107992784e+00,2.415215995247655734e+00,2.434384256251771905e+00,2.456356972603803257e+00,2.474107899983466474e+00,2.498092486828053183e+00,2.514462788435776197e+00,2.540525056612012555e+00,2.554612439919794920e+00,2.583144607554030081e+00,2.594677597271966896e+00,2.626474854230236744e+00,2.633703162372223794e+00,2.668866442592720656e+00,2.670655261770287225e+00,2.711624574747376393e+00,2.707047721924769945e+00,2.755799842827634905e+00,2.741768538988904158e+00,2.800348951552067867e+00,2.773489266660977393e+00
3.774797445832414056e+00,3.747257802871435395e+00,3.718467129056157283e+00,3.692389426854830070e+00,3.661507180877820566e+00,3.636286732213436679e+00,3.603474959868888661e+00,3.580490536626805387e+00,3.545516626096775870e+00,3.524754872160562602e+00,3.486985008350269144e+00,3.469857262301497158e+00,3.428784822895804218e+00,3.415500652287066341e+00,3.368284541079860528e+00,3.359901658254035972e+00,3.306393110576521188e+00,3.307093241629421421e+00,3.245300863755872900e+00,3.255992830803086768e+00,3.181310091841620391e+00
6.291119822736338740e+00,6.204619117536260831e+00,6.115821184387378651e+00,6.030101764138535714e+00,5.941417327791186587e+00,5.858881954383634572e+00,5.766972758843698976e+00,5.684949833770771122e+00,5.593744195972805144e+00,5.519856759392477663e+00,5.429040839348877157e+00,5.357847262430327717e+00,5.261107085897959834e+00,5.193196880509617586e+00,5.093296999789611590e+00,5.034474076341743043e+00,4.929624874303339510e+00,4.878492176919363210e+00,4.762385059556997646e+00,4.718271719512639351e+00,4.584732532847608510e+00
